NR,LINK,ORIGIN,W,L,M2,PRICE
1,K-0153,SIVRIHISAR,162,290,4.698,800
2,K-0160,KARS,135,410,5.535,200
3,K-0177,BERAMAGAMA,155,195,3.0225,400
4,K-0362,MALATYA,158,333,5.2614,1500
5,K-0363,ADANA,166,420,6.972,2000
6,K-0364,MALATYA,160,300,4.8,2000
7,K-0386,KARS,84,430,3.612,100
8,K-0388,KONYA-FRG,77,383,2.9491,250
9,K-0392,KONYA-TIFTIK,160,235,3.76,100
10,K-0394,KUTAHYA-FRG,80,252,2.016,200
11,K-0401,KONYA-FRG,85,400,3.4,500
12,K-0403,KONYA,174,435,7.569,1000
13,K-0420,KONYA-TK,63,385,2.4255,300
14,K-0427,KARAPINAR,120,420,5.04,1500
15,K-0448,BERGAMA-BAG,74,130,0.962,400
16,K-0449,BERGAMA-BAG,73,125,0.9125,400
17,K-1069,MUT,115,291,3.3465,800
18,K-1321,AVAR,140,410,5.74,1000
19,K-1323,AYDIN,170,440,7.48,1700
20,K-1328,KUBA,75,305,2.2875,200
21,K-1359,SIVAS,170,400,6.8,1000
22,K-1486,REYHANLI,75,345,2.5875,300
23,K-1652,KAZAK-STRIPE,140,305,4.27,350
24,K-1730,KONYA-SAF,140,310,4.34,350
25,K-1743,DAGISTAN SUMAK,240,405,9.72,400
26,K-1864,TASPINAR,85,430,3.655,250
27,K-1866,KAZAK,210,245,5.145,700
28,K-1903,KUBA,165,320,5.28,400
29,K-1960,AVAR,160,610,9.76,300
30,K-1963,MANASTIR,72,105,0.756,100
31,K-1964,MANASTIR,68,98,0.6664,100
32,K-1975,REYHANLI,165,340,5.61,1250
33,K-1976,REYHANLI,140,325,4.55,1500
34,K-2081,AFGAN-SUMAK,230,415,9.545,300
35,K-2123,SHIRVAN,145,295,4.2775,350
36,K-2147,AVAR,160,480,7.68,500
37,K-2159,TASPINAR,65,377,2.4505,200
38,K-2166,SHIRVAN,132,308,4.0656,350
39,K-2215,SIVAS,195,345,6.7275,600
40,K-2224,REYHANLI,102,192,1.9584,800
41,K-2225,ERZURUM,135,330,4.455,1000
42,K-2227,KAZAK,70,360,2.52,250
43,K-2234,SHIRVAN,190,340,6.46,800
44,K-2245,VAN,140,225,3.15,600
45,K-2248,KAZAK,128,216,2.7648,200
46,K-2250,MALATYA,163,355,5.7865,1500
47,K-2252,SARKÖY,340,400,13.6,1500
48,K-2258,USHAK,400,500,20,1000
49,K-2282,KAZAK,200,304,6.08,400
50,K-2333,KUBA,163,325,5.2975,500
51,K-2349,MALATYA,185,325,6.0125,800
52,K-2374,KUBA,190,360,6.84,500
53,K-2375,SHIRVAN,160,315,5.04,600
54,K-2400,SHIRVAN,165,290,4.785,400
55,K-2421,KONYA-STRIPE,153,202,3.0906,150
56,K-2825,FETHIYE,90,287,2.583,100
57,K-2826,FETHIYE,87,285,2.4795,100
58,K-2835,KONYA-RUNNER,62,450,2.79,750
59,K-2836,KONYA-RUNNER,70,340,2.38,300
60,K-2895,KONYA-CICIM,123,155,1.9065,200
61,K-2897,KONYA-CICIM,123,146,1.7958,200
62,K-2902,KONYA-STRIPE,126,206,2.5956,150
63,K-2903,KONYA-STRIPE,153,410,6.273,500
64,K-2904,KONYA-STRIPE,132,200,2.64,150
65,K-2905,KONYA-STRIPE,143,436,6.2348,150
66,K-2907,KONYA-STRIPE,122,197,2.4034,150
67,K-2910,KONYA-STRIPE,125,183,2.2875,400
68,K-2911,KONYA-ANTIQUE,145,410,5.945,500
69,K-2943,HEYBE-CICIM,52,232,1.2064,50
70,K-2947,KAZAK,193,285,5.5005,250
71,K-2956,SHIRVAN-BAG,45,123,0.5535,50
72,K-2971,PERDE,130,530,6.89,200
73,K-3002,SHIRVAN,166,244,4.0504,550
74,K-3012,KONYA-STRIPE,160,400,6.4,500
75,K-3023,HEYBE-SILK,38,98,0.3724,50
76,K-3024,SIVAS-SAL,80,110,0.88,50
77,K-3045,CACIM,244,280,6.832,250
78,K-3070,SUMAK-DAGISTAN,150,203,3.045,300
79,K-3082,KARADAG,164,350,5.74,500
80,K-3092,SUMAK-MAFRASH,46,120,0.552,500
81,K-3106,SENNEH,130,400,5.2,600
82,K-3108,ERZURUM,114,180,2.052,800
83,K-3119,CICIM-PANEL,55,86,0.473,100
84,K-3126,MAFRASCH-KILIM,44,100,0.44,150
85,K-3134,BAHTIYAR,180,250,4.5,800
86,K-3138,AFGAN-SUMAK,200,350,7,250
87,K-3159,MAFRASCH-SUMAK,52,110,0.572,300
88,K-3160,AZERBAIJAN-BAG,57,125,0.7125,100
89,K-3164,TURKMEN-HEYBE,45,100,0.45,50
90,K-3173,CICIM,80,82,0.656,50
91,K-3174,CICIM,74,76,0.5624,50
92,K-3175,BERGAMA-BAG,142,344,4.8848,300
93,K-3181,VERAMIN-RUNNER,110,376,4.136,100
94,K-3185,KAGIZMAN,127,180,2.286,250
95,K-3188,KAYSERI,123,185,2.2755,150
96,K-3214,SHIRVAN,150,195,2.925,200
97,K-3222,MALATYA-CICIM,66,362,2.3892,300
98,K-3223,MALATYA-CICIM,62,362,2.2444,300
99,K-3224,KONYA,160,225,3.6,800
100,K-3225,KARAKEÇILI-CICIM,90,95,0.855,200
101,K-3226,AZERI-BAG,58,140,0.812,50
102,K-3227,DAZKIRI-FRG,120,156,1.872,300
103,K-3228,KARAPINAR-FRG,166,130,2.158,100
104,K-3229,DAZKIRI-FRG,140,1165,16.31,300
105,K-3244,HERKI,150,190,2.85,250
106,K-3300,VAN,160,250,4,200
107,K-3301,VAN,190,230,4.37,700
108,K-3302,YAGCIBEDIR,148,182,2.6936,300
109,K-3303,MAFFRASCH-OPEN,103,160,1.648,300
